iter	Passed	Remaining
0	0	82
1	1	79
2	2	70
3	2	63
4	3	61
5	3	59
6	4	57
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	50
13	8	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	14	43
25	15	44
26	16	44
27	17	44
28	18	44
29	19	44
30	20	46
31	22	47
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	28	46
38	29	45
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
