iter	Passed	Remaining
0	132	132218
1	133	66444
2	133	44508
3	136	33966
4	137	27384
5	142	23628
6	143	20372
7	144	17896
8	145	15970
9	145	14423
10	146	13159
11	147	12103
12	148	11252
13	149	10495
14	149	9821
15	150	9242
16	150	8721
17	151	8259
18	151	7844
19	154	7565
20	155	7237
21	155	6924
22	156	6637
23	156	6373
24	157	6131
25	157	5910
26	158	5718
27	159	5532
28	159	5354
29	160	5188
30	161	5033
31	161	4887
32	162	4749
33	162	4620
34	163	4500
35	163	4385
36	164	4276
37	164	4173
38	165	4075
39	165	3981
40	166	3893
41	168	3854
42	169	3777
43	170	3701
44	170	3627
45	171	3556
46	172	3488
47	172	3427
48	173	3365
49	173	3305
50	174	3247
51	175	3190
52	175	3142
53	176	3092
54	177	3042
55	177	2994
56	178	2947
57	178	2904
58	179	2860
59	179	2818
60	180	2778
61	181	2738
62	183	2725
63	184	2696
64	185	2661
65	185	2626
66	186	2592
67	186	2560
68	187	2528
69	187	2497
70	188	2467
71	189	2436
72	189	2408
73	190	2379
74	191	2356
75	191	2331
76	192	2309
77	193	2285
78	193	2260
79	194	2239
80	195	2215
81	195	2191
82	196	2165
83	198	2160
84	198	2140
85	199	2119
86	199	2098
87	200	2077
88	201	2057
89	201	2038
90	202	2018
91	202	1999
92	203	1981
93	203	1963
94	204	1946
95	205	1933
96	205	1917
97	206	1900
98	207	1888
99	207	1871
100	208	1855
101	208	1839
102	209	1823
103	209	1808
104	210	1792
105	210	1777
106	211	1763
107	213	1761
108	213	1748
109	214	1734
110	214	1721
111	215	1707
112	215	1694
113	216	1681
114	216	1668
115	217	1656
116	217	1643
117	218	1631
118	218	1619
119	219	1607
120	220	1598
121	220	1586
122	221	1576
123	221	1565
124	222	1554
125	222	1544
126	223	1533
127	223	1522
128	224	1512
129	224	1502
130	224	1492
131	225	1482
132	225	1472
133	226	1462
134	228	1462
135	228	1453
136	229	1445
137	229	1435
138	230	1427
139	230	1418
140	231	1409
141	231	1400
142	232	1391
143	232	1383
144	233	1376
145	233	1367
146	234	1359
147	234	1351
148	235	1343
149	235	1335
150	236	1328
151	236	1320
152	237	1312
153	237	1305
154	238	1298
155	238	1290
156	239	1283
157	239	1276
158	240	1270
159	240	1263
160	242	1262
161	243	1260
162	244	1253
163	244	1247
164	245	1241
165	245	1235
166	246	1228
167	248	1230
168	248	1224
169	249	1218
170	250	1212
171	250	1206
172	251	1200
173	251	1195
174	252	1189
175	252	1183
176	253	1178
177	253	1172
178	254	1167
179	255	1162
180	255	1157
181	258	1160
182	258	1155
183	259	1150
184	259	1145
185	260	1139
186	260	1134
187	261	1129
188	262	1124
189	262	1119
190	263	1114
191	263	1110
192	264	1105
193	264	1100
194	265	1095
195	266	1091
196	266	1086
197	267	1081
198	267	1077
199	268	1072
200	269	1070
201	269	1066
202	270	1061
203	272	1063
204	273	1060
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1039
210	276	1035
211	277	1031
212	278	1027
213	278	1023
214	279	1019
215	279	1015
216	280	1012
217	280	1007
218	281	1003
219	282	999
220	282	995
221	283	991
222	284	989
223	284	986
224	285	982
225	285	979
226	288	981
227	289	978
228	289	975
229	290	971
230	290	968
231	291	965
232	292	961
233	292	958
234	293	955
235	294	951
236	294	948
237	295	944
238	295	941
239	296	937
240	296	934
241	297	931
242	297	927
243	298	924
244	298	920
245	299	916
246	299	913
247	300	909
248	302	911
249	302	908
250	303	904
251	303	901
252	304	898
253	304	894
254	305	891
255	305	888
256	306	884
257	306	881
258	306	878
259	307	875
260	307	871
261	308	868
262	308	865
263	309	862
264	309	859
265	310	856
266	311	854
267	311	851
268	312	847
269	312	844
270	312	841
271	313	838
272	314	836
273	314	833
274	315	830
275	316	831
276	317	828
277	317	825
278	318	823
279	319	820
280	319	817
281	320	814
282	320	811
283	320	809
284	321	806
285	321	803
286	322	800
287	322	797
288	323	795
289	323	792
290	324	789
291	324	787
292	325	784
293	325	782
294	326	780
295	326	777
296	327	774
297	327	772
298	328	770
299	328	767
300	329	764
301	329	762
302	331	763
303	332	761
304	333	759
305	333	757
306	334	755
307	334	752
308	335	750
309	335	747
310	336	745
311	336	743
312	337	740
313	338	738
314	338	736
315	338	733
316	339	731
317	339	729
318	340	726
319	340	724
320	341	722
321	341	719
322	342	717
323	342	715
324	343	712
325	343	710
326	344	708
327	344	706
328	346	706
329	347	704
330	347	702
331	348	700
332	348	698
333	349	696
334	349	694
335	350	692
336	357	703
337	357	701
338	358	698
339	358	696
340	359	694
341	359	692
342	360	689
343	362	690
344	363	689
345	363	687
346	364	685
347	364	683
348	365	680
349	365	678
350	365	676
351	366	674
352	366	672
353	367	670
354	367	668
355	368	666
356	368	663
357	369	661
358	369	659
359	370	657
360	370	655
361	371	654
362	371	652
363	373	652
364	374	651
365	377	653
366	380	656
367	381	655
368	382	654
369	383	652
370	384	651
371	387	654
372	388	653
373	391	655
374	393	655
375	394	654
376	395	653
377	397	653
378	398	653
379	400	653
380	401	652
381	402	650
382	403	649
383	403	647
384	404	646
385	408	649
386	409	648
387	410	646
388	410	645
389	411	643
390	412	642
391	413	640
392	413	639
393	414	637
394	415	635
395	416	634
396	416	633
397	417	631
398	418	630
399	419	628
400	420	627
401	423	629
402	424	629
403	425	628
404	426	626
405	427	625
406	428	624
407	429	622
408	429	621
409	430	619
410	431	618
411	432	616
412	432	615
413	433	613
414	433	611
415	434	610
416	435	608
417	437	609
418	438	607
419	439	606
420	439	604
421	440	603
422	440	601
423	441	599
424	442	598
425	443	596
426	443	595
427	444	593
428	445	592
429	445	590
430	446	589
431	446	587
432	447	586
433	448	584
434	448	583
435	449	581
436	450	580
437	451	579
438	452	577
439	452	576
440	453	574
441	454	573
442	454	571
443	455	570
444	456	569
445	456	567
446	457	566
447	458	564
448	458	563
449	459	561
450	460	560
451	460	558
452	461	557
453	462	555
454	462	554
455	463	552
456	464	551
457	466	551
458	467	550
459	467	549
460	468	547
461	469	546
462	469	544
463	470	543
464	471	542
465	472	540
466	472	539
467	473	538
468	474	536
469	474	535
470	475	533
471	475	532
472	476	530
473	478	530
474	478	529
475	479	528
476	481	527
477	482	526
478	483	526
479	485	525
480	486	524
481	486	523
482	487	522
483	488	520
484	492	523
485	493	522
486	494	521
487	495	519
488	496	518
489	497	517
490	497	515
491	498	514
492	499	513
493	499	511
494	500	510
495	500	509
496	501	507
497	502	506
498	502	504
499	503	503
500	503	501
501	504	500
502	504	498
503	505	497
504	506	496
505	506	494
506	507	493
507	508	492
508	508	490
509	509	489
510	510	488
511	510	486
512	511	485
513	511	483
514	512	482
515	512	481
516	513	479
517	514	478
518	514	476
519	515	475
520	515	474
521	516	472
522	516	471
523	517	469
524	517	468
525	518	467
526	519	466
527	521	466
528	523	465
529	523	464
530	524	463
531	525	461
532	525	460
533	526	459
534	526	458
535	527	456
536	528	455
537	528	453
538	529	452
539	529	451
540	530	450
541	531	448
542	531	447
543	532	446
544	532	444
545	533	443
546	533	442
547	534	440
548	537	441
549	537	439
550	538	438
551	539	437
552	539	436
553	540	435
554	541	433
555	541	432
556	542	431
557	542	429
558	543	428
559	543	427
560	544	426
561	546	425
562	546	424
563	547	423
564	547	421
565	548	420
566	549	419
567	549	417
568	552	418
569	552	417
570	553	415
571	553	414
572	554	413
573	554	411
574	555	410
575	555	409
576	556	407
577	556	406
578	557	405
579	557	404
580	558	402
581	558	401
582	559	400
583	560	398
584	560	397
585	560	396
586	561	395
587	561	393
588	562	392
589	562	391
590	563	389
591	563	388
592	564	387
593	564	386
594	566	385
595	567	384
596	568	383
597	569	382
598	570	381
599	571	380
600	571	379
601	571	378
602	572	376
603	572	375
604	573	374
605	574	373
606	574	372
607	575	370
608	575	369
609	576	368
610	576	367
611	577	365
612	577	364
613	578	363
614	578	362
615	579	360
616	579	359
617	579	358
618	581	358
619	582	357
620	583	356
621	583	354
622	584	353
623	584	352
624	585	351
625	585	350
626	586	348
627	586	347
628	587	346
629	588	345
630	590	345
631	590	343
632	591	342
633	592	341
634	592	340
635	593	339
636	593	338
637	594	337
638	596	337
639	597	336
640	598	335
641	598	333
642	599	332
643	599	331
644	600	330
645	600	329
646	601	328
647	601	326
648	602	325
649	604	325
650	604	324
651	605	323
652	606	322
653	606	321
654	607	319
655	608	318
656	608	317
657	609	316
658	612	316
659	613	315
660	613	314
661	614	313
662	614	312
663	615	311
664	616	310
665	617	309
666	618	308
667	619	307
668	619	306
669	620	305
670	621	304
671	622	303
672	623	302
673	623	301
674	627	302
675	628	301
676	628	299
677	629	298
678	629	297
679	630	296
680	630	295
681	632	294
682	633	293
683	633	292
684	634	291
685	634	290
686	635	289
687	635	288
